Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	1.67917	10075	-7939.4	32.9914	55.3961
0.109754	1.68866	10132	-7996.3	32.9914	55.709
0.209531	1.69829	10189.7	-8054.1	32.9914	56.0268
0.309307	1.70772	10246.3	-8110.65	32.9914	56.3377
0.409084	1.71644	10298.6	-8163	32.9914	56.6256
0.50886	1.72382	10342.9	-8207.31	32.9914	56.8693
0.608637	1.72907	10374.4	-8238.81	32.9914	57.0426
0.708413	1.73132	10387.9	-8252.27	32.9914	57.1168
0.80819	1.72978	10378.7	-8243.07	32.9914	57.0664
0.907966	1.72403	10344.2	-8208.55	32.9914	56.877
1.00774	1.71414	10284.8	-8149.23	32.9914	56.5512
1.10752	1.7007	10204.2	-8068.59	32.9914	56.1083
1.2073	1.68462	10107.7	-7972.12	32.9914	55.5785
1.30707	1.66693	10001.6	-7865.93	32.9914	54.9952
1.40685	1.6486	9891.59	-7755.96	32.9914	54.3911
1.50663	1.63052	9783.12	-7647.49	32.9914	53.7954
1.6064	1.61339	9680.35	-7544.72	32.9914	53.2309
1.70618	1.59772	9586.31	-7450.68	32.9914	52.7143
1.80596	1.58389	9503.36	-7367.73	32.9914	52.2587
1.90573	1.57222	9433.3	-7297.67	32.9914	51.8739
2.00551	1.56282	9376.95	-7241.32	32.9914	51.5643
2.10528	1.55568	9334.07	-7198.45	32.9914	51.3289
2.20506	1.5506	9303.63	-7168	32.9914	51.1615
2.30484	1.54733	9283.98	-7148.36	32.9914	51.0536
2.40461	1.54564	9273.81	-7138.19	32.9914	50.9978
2.50439	1.54544	9272.63	-7137	32.9914	50.9913
2.60417	1.54679	9280.72	-7145.1	32.9914	51.0359
2.70394	1.54976	9298.55	-7162.93	32.9914	51.1339
2.80372	1.55431	9325.87	-7190.24	32.9914	51.2841
2.9035	1.56024	9361.46	-7225.83	32.9914	51.4797
3.00327	1.56726	9403.57	-7267.95	32.9914	51.7111
3.10305	1.57503	9450.17	-7314.55	32.9914	51.9672
3.20283	1.5832	9499.21	-7363.59	32.9914	52.2368
3.3026	1.59149	9548.96	-7413.34	32.9914	52.5103
3.40238	1.59973	9598.38	-7462.76	32.9914	52.7819
3.50216	1.60785	9647.12	-7511.49	32.9914	53.0497
3.60193	1.61582	9694.91	-7559.28	32.9914	53.3124
3.70171	1.62353	9741.2	-7605.58	32.9914	53.5668
3.80149	1.63083	9784.95	-7649.33	32.9914	53.8073
3.90126	1.63746	9824.78	-7689.16	32.9914	54.0262
4.00104	1.64318	9859.05	-7723.43	32.9914	54.2145
4.10082	1.64776	9886.57	-7750.95	32.9914	54.3659
4.20059	1.65121	9907.23	-7771.61	32.9914	54.4795
4.30037	1.65373	9922.4	-7786.77	32.9914	54.563
4.40015	1.65575	9934.52	-7798.89	32.9914	54.6297
4.49992	1.65775	9946.47	-7810.84	32.9914	54.6954
