Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	3.99632	23977.9	-14448.4	38.49	153.826
0.109754	3.76822	22609.3	-13079.6	38.49	145.051
0.209531	3.54388	21263.3	-11733.6	38.49	136.422
0.309307	3.34932	20095.9	-10566.1	38.49	128.938
0.409084	3.19922	19195.3	-9665.53	38.49	123.164
0.50886	3.09703	18582.2	-9052.39	38.49	119.233
0.608637	3.03773	18226.4	-8696.6	38.49	116.952
0.708413	3.01212	18072.7	-8542.97	38.49	115.967
0.80819	3.01101	18066	-8536.32	38.49	115.924
0.907966	3.02706	18162.4	-8632.66	38.49	116.542
1.00774	3.0539	18323.4	-8793.72	38.49	117.575
1.10752	3.08497	18509.8	-8980.15	38.49	118.77
1.2073	3.11443	18686.6	-9156.89	38.49	119.903
1.30707	3.13848	18830.9	-9301.19	38.49	120.828
1.40685	3.15508	18930.5	-9400.8	38.49	121.467
1.50663	3.16377	18982.6	-9452.93	38.49	121.801
1.6064	3.16602	18996.1	-9466.45	38.49	121.888
1.70618	3.16469	18988.1	-9458.43	38.49	121.836
1.80596	3.16229	18973.7	-9444.03	38.49	121.744
1.90573	3.15983	18959	-9429.27	38.49	121.649
2.00551	3.15686	18941.2	-9411.49	38.49	121.535
2.10528	3.15315	18918.9	-9389.19	38.49	121.392
2.20506	3.15042	18902.5	-9372.81	38.49	121.287
2.30484	3.15134	18908	-9378.3	38.49	121.322
2.40461	3.15581	18934.8	-9405.15	38.49	121.494
2.50439	3.1602	18961.2	-9431.52	38.49	121.663
2.60417	3.16091	18965.4	-9435.77	38.49	121.69
2.70394	3.15784	18947	-9417.33	38.49	121.572
2.80372	3.15417	18925	-9395.3	38.49	121.43
2.9035	3.15202	18912.1	-9382.44	38.49	121.348
3.00327	3.14998	18899.9	-9370.19	38.49	121.269
3.10305	3.14652	18879.1	-9349.42	38.49	121.136
3.20283	3.14239	18854.3	-9324.66	38.49	120.978
3.3026	3.13994	18839.6	-9309.95	38.49	120.883
3.40238	3.14087	18845.2	-9315.54	38.49	120.919
3.50216	3.14412	18864.7	-9335.04	38.49	121.044
3.60193	3.14658	18879.5	-9349.8	38.49	121.138
3.70171	3.14567	18874	-9344.38	38.49	121.103
3.80149	3.14091	18845.5	-9315.82	38.49	120.92
3.90126	3.13381	18802.9	-9273.22	38.49	120.647
4.00104	3.12609	18756.5	-9226.88	38.49	120.35
4.10082	3.11874	18712.4	-9182.77	38.49	120.067
4.20059	3.11301	18678	-9148.35	38.49	119.846
4.30037	3.11002	18660.1	-9130.43	38.49	119.732
4.40015	3.10964	18657.8	-9128.16	38.49	119.718
4.49992	3.11024	18661.4	-9131.77	38.49	119.741
4.5997	3.11022	18661.3	-9131.65	38.49	119.741
4.69947	3.11076	18664.6	-9134.89	38.49	119.762
4.79925	3.11494	18689.6	-9159.95	38.49	119.923
4.89903	3.12341	18740.4	-9210.78	38.49	120.248
4.9988	3.13302	18798.1	-9268.48	38.49	120.618
5.09858	3.1396	18837.6	-9307.94	38.49	120.871
5.19836	3.14079	18844.8	-9315.11	38.49	120.916
5.29813	3.13651	18819.1	-9289.42	38.49	120.752
5.39791	3.12821	18769.3	-9239.63	38.49	120.433
5.49769	3.11823	18709.4	-9179.73	38.49	120.049
5.59746	3.1096	18657.6	-9127.94	38.49	119.717
5.69724	3.10547	18632.8	-9103.15	38.49	119.559
5.79702	3.10722	18643.3	-9113.66	38.49	119.626
5.89679	3.11313	18678.8	-9149.13	38.49	119.854
5.99657	3.1192	18715.2	-9185.55	38.49	120.087
6.09635	3.12221	18733.3	-9203.62	38.49	120.203
6.19612	3.12212	18732.7	-9203.04	38.49	120.199
6.2959	3.12133	18728	-9198.3	38.49	120.168
6.39568	3.12236	18734.2	-9204.51	38.49	120.208
6.49545	3.12638	18758.3	-9228.62	38.49	120.362
6.59523	3.13322	18799.3	-9269.65	38.49	120.625
6.69501	3.14182	18850.9	-9321.25	38.49	120.955
6.79478	3.15064	18903.8	-9374.19	38.49	121.295
6.89456	3.15811	18948.7	-9419.03	38.49	121.582
6.99434	3.16306	18978.4	-9448.72	38.49	121.772
7.09411	3.16498	18989.9	-9460.24	38.49	121.846
7.19389	3.16413	18984.8	-9455.13	38.49	121.813
7.29366	3.16109	18966.5	-9436.9	38.49	121.696
7.39344	3.15637	18938.2	-9408.55	38.49	121.514
7.49322	3.15054	18903.2	-9373.6	38.49	121.291
7.59299	3.14459	18867.6	-9337.9	38.49	121.062
7.69277	3.14009	18840.5	-9310.85	38.49	120.889
7.79255	3.13863	18831.8	-9302.1	38.49	120.833
7.89232	3.14123	18847.4	-9317.7	38.49	120.933
7.9921	3.14818	18889.1	-9359.43	38.49	121.2
8.09188	3.15922	18955.3	-9425.64	38.49	121.625
8.19165	3.17256	19035.4	-9505.7	38.49	122.138
8.29143	3.18439	19106.3	-9576.7	38.49	122.593
8.39121	3.19032	19141.9	-9612.28	38.49	122.821
8.49098	3.18779	19126.7	-9597.13	38.49	122.724
8.59076	3.17725	19063.5	-9533.85	38.49	122.318
8.69054	3.16133	18968	-9438.36	38.49	121.706
8.79031	3.14389	18863.3	-9333.68	38.49	121.035
8.89009	3.12892	18773.5	-9243.88	38.49	120.459
8.98987	3.11903	18714.2	-9184.52	38.49	120.079
9.08964	3.11515	18690.9	-9161.26	38.49	119.93
9.18942	3.11647	18698.8	-9169.16	38.49	119.98
9.2892	3.12085	18725.1	-9195.43	38.49	120.149
9.38897	3.1263	18757.8	-9228.17	38.49	120.358
9.48875	3.1317	18790.2	-9260.57	38.49	120.566
9.58853	3.13556	18813.4	-9283.76	38.49	120.715
9.6883	3.13602	18816.1	-9286.51	38.49	120.732
9.78808	3.13221	18793.2	-9263.62	38.49	120.586
9.88785	3.12539	18752.4	-9222.71	38.49	120.324
