Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	3.25103	19506.2	2.64961e+07	76.98	1383.4
0.109754	3.50265	21015.9	2.64946e+07	76.98	1400.6
0.209531	3.46184	20771.1	2.64948e+07	76.98	1401.56
0.309307	3.30117	19807	2.64959e+07	76.98	1389.68
0.409084	3.47233	20834	2.64947e+07	76.98	1395.28
0.50886	3.53649	21218.9	2.64944e+07	76.98	1401.73
0.608637	3.16249	18974.9	2.64968e+07	76.98	1378.18
0.708413	3.17721	19063.3	2.64965e+07	76.98	1381
0.80819	3.26621	19597.3	2.64961e+07	76.98	1372.42
0.907966	3.22943	19376.6	2.64962e+07	76.98	1385.72
1.00774	3.12024	18721.4	2.6497e+07	76.98	1375.62
1.10752	3.34821	20089.3	2.64956e+07	76.98	1393.01
1.2073	3.48262	20895.7	2.64947e+07	76.98	1395.32
1.30707	3.21047	19262.8	2.64964e+07	76.98	1375.86
1.40685	3.32134	19928	2.64957e+07	76.98	1391.92
1.50663	3.43267	20596	2.6495e+07	76.98	1391.48
1.6064	3.37919	20275.1	2.64953e+07	76.98	1387.37
1.70618	3.46106	20766.3	2.64948e+07	76.98	1399.08
1.80596	3.36564	20193.8	2.64954e+07	76.98	1394.99
1.90573	3.26218	19573.1	2.64962e+07	76.98	1377.09
2.00551	3.28465	19707.9	2.64958e+07	76.98	1385.71
2.10528	3.2498	19498.8	2.64963e+07	76.98	1377.36
2.20506	3.41895	20513.7	2.6495e+07	76.98	1393.14
2.30484	3.17779	19066.8	2.64967e+07	76.98	1375.65
2.40461	3.35284	20117	2.64954e+07	76.98	1393.96
2.50439	3.51647	21098.8	2.64945e+07	76.98	1403.53
2.60417	3.52542	21152.5	2.64944e+07	76.98	1397.44
2.70394	3.19257	19155.4	2.64966e+07	76.98	1374.18
2.80372	3.36985	20219.1	2.64953e+07	76.98	1395.01
2.9035	3.31303	19878.2	2.64958e+07	76.98	1387.37
3.00327	3.42747	20564.8	2.6495e+07	76.98	1391.99
3.10305	3.40403	20424.2	2.64951e+07	76.98	1394.55
3.20283	3.03987	18239.2	2.64976e+07	76.98	1369.55
3.3026	3.50625	21037.5	2.64946e+07	76.98	1402.58
3.40238	3.41943	20516.6	2.64951e+07	76.98	1393.94
3.50216	3.30302	19818.1	2.64958e+07	76.98	1382.19
3.60193	3.5591	21354.6	2.64942e+07	76.98	1404.16
3.70171	3.25329	19519.7	2.64962e+07	76.98	1377.01
3.80149	3.13197	18791.8	2.64968e+07	76.98	1378.67
3.90126	3.19828	19189.7	2.64966e+07	76.98	1376.71
4.00104	3.44977	20698.6	2.64949e+07	76.98	1392.61
4.10082	3.47966	20878	2.64947e+07	76.98	1400.22
4.20059	3.23893	19433.6	2.64962e+07	76.98	1384.64
4.30037	3.17683	19061	2.64967e+07	76.98	1375.2
4.40015	3.27358	19641.5	2.6496e+07	76.98	1375.62
4.49992	3.29974	19798.4	2.64959e+07	76.98	1383.77
4.5997	3.53544	21212.6	2.64943e+07	76.98	1410.52
4.69947	3.3595	20157	2.64955e+07	76.98	1392.31
4.79925	3.35959	20157.5	2.64955e+07	76.98	1382.5
4.89903	3.52246	21134.7	2.64944e+07	76.98	1405.91
4.9988	3.3693	20215.8	2.64955e+07	76.98	1395.38
5.09858	3.41029	20461.8	2.64951e+07	76.98	1396.19
5.19836	3.33528	20011.7	2.64956e+07	76.98	1384.55
5.29813	3.27268	19636.1	2.6496e+07	76.98	1385.41
5.39791	3.37396	20243.7	2.64954e+07	76.98	1391.05
5.49769	3.49178	20950.7	2.64946e+07	76.98	1395.37
5.59746	3.39087	20345.2	2.64953e+07	76.98	1390.43
5.69724	3.4318	20590.8	2.6495e+07	76.98	1396.71
5.79702	3.4442	20665.2	2.64949e+07	76.98	1392.14
5.89679	3.21803	19308.2	2.64964e+07	76.98	1375.14
5.99657	3.35518	20131.1	2.64956e+07	76.98	1401.49
6.09635	3.53197	21191.8	2.64943e+07	76.98	1402.1
6.19612	3.28972	19738.3	2.64959e+07	76.98	1376.87
6.2959	3.13144	18788.7	2.64969e+07	76.98	1374.33
6.39568	3.30535	19832.1	2.64958e+07	76.98	1386.18
6.49545	3.46781	20806.8	2.64947e+07	76.98	1405.54
6.59523	3.19077	19144.6	2.64966e+07	76.98	1367.86
6.69501	3.43691	20621.5	2.6495e+07	76.98	1397.6
6.79478	3.30327	19819.6	2.64959e+07	76.98	1388.84
6.89456	3.36089	20165.3	2.64954e+07	76.98	1395.12
6.99434	3.44954	20697.2	2.64949e+07	76.98	1391.66
7.09411	3.35218	20113.1	2.64955e+07	76.98	1384.85
7.19389	3.28629	19717.8	2.64959e+07	76.98	1386.78
7.29366	3.39321	20359.2	2.64952e+07	76.98	1394.4
7.39344	3.27794	19667.7	2.6496e+07	76.98	1384.86
7.49322	3.34458	20067.5	2.64955e+07	76.98	1392.69
7.59299	3.35417	20125	2.64955e+07	76.98	1384.87
7.69277	3.42343	20540.6	2.6495e+07	76.98	1392.38
7.79255	3.29041	19742.5	2.64959e+07	76.98	1385.57
7.89232	3.27123	19627.4	2.6496e+07	76.98	1384.06
7.9921	3.44919	20695.1	2.64949e+07	76.98	1392.52
8.09188	3.40528	20431.7	2.64952e+07	76.98	1389.21
8.19165	3.37428	20245.7	2.64954e+07	76.98	1393.36
8.29143	3.41527	20491.6	2.64951e+07	76.98	1394.85
8.39121	3.3218	19930.8	2.64957e+07	76.98	1382.33
8.49098	3.35959	20157.5	2.64955e+07	76.98	1385.14
8.59076	3.28665	19719.9	2.6496e+07	76.98	1393.52
8.69054	3.31436	19886.2	2.64958e+07	76.98	1383.15
8.79031	3.34981	20098.8	2.64955e+07	76.98	1382.79
8.89009	3.43651	20619	2.6495e+07	76.98	1390.3
8.98987	3.37884	20273	2.64954e+07	76.98	1394.83
9.08964	3.37879	20272.7	2.64953e+07	76.98	1394.34
9.18942	3.35041	20102.5	2.64956e+07	76.98	1388.9
9.2892	3.3447	20068.2	2.64955e+07	76.98	1387.63
9.38897	3.39901	20394.1	2.64952e+07	76.98	1393.27
9.48875	3.26994	19619.7	2.6496e+07	76.98	1378.99
9.58853	3.34075	20044.5	2.64955e+07	76.98	1389.43
9.6883	3.26983	19619	2.6496e+07	76.98	1382.27
9.78808	3.27603	19656.2	2.6496e+07	76.98	1380.51
9.88785	3.37641	20258.4	2.64954e+07	76.98	1384.67
