Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	2.43678	14620.7	-16663.9	38.49	93.7899
0.109754	2.33907	14034.4	-16077.6	38.49	90.0313
0.209531	2.22531	13351.9	-15395.1	38.49	85.6557
0.309307	2.1048	12628.8	-14672	38.49	81.0202
0.409084	1.98842	11930.5	-13973.7	38.49	76.5435
0.50886	1.88533	11312	-13355.1	38.49	72.578
0.608637	1.80126	10807.5	-12850.6	38.49	69.3441
0.708413	1.73842	10430.5	-12473.6	38.49	66.9271
0.80819	1.69615	10176.9	-12220	38.49	65.3009
0.907966	1.67181	10030.8	-12074	38.49	64.3647
1.00774	1.66183	9970.96	-12014.1	38.49	63.9809
1.10752	1.6626	9975.61	-12018.8	38.49	64.0108
1.2073	1.67104	10026.3	-12069.4	38.49	64.3356
1.30707	1.68458	10107.5	-12150.6	38.49	64.8565
1.40685	1.70093	10205.6	-12248.8	38.49	65.4856
1.50663	1.71799	10307.9	-12351.1	38.49	66.1416
1.6064	1.73397	10403.8	-12447	38.49	66.7565
1.70618	1.74761	10485.7	-12528.9	38.49	67.2813
1.80596	1.75817	10549	-12592.2	38.49	67.6871
1.90573	1.76523	10591.4	-12634.5	38.49	67.9588
2.00551	1.76882	10612.9	-12656.1	38.49	68.0971
2.10528	1.7695	10617	-12660.2	38.49	68.1233
2.20506	1.76828	10609.7	-12652.8	38.49	68.0762
2.30484	1.76627	10597.6	-12640.8	38.49	67.9987
2.40461	1.76423	10585.4	-12628.5	38.49	67.92
2.50439	1.76237	10574.2	-12617.4	38.49	67.8481
2.60417	1.76045	10562.7	-12605.9	38.49	67.7744
2.70394	1.75837	10550.2	-12593.4	38.49	67.6943
2.80372	1.75643	10538.6	-12581.8	38.49	67.6197
2.9035	1.75523	10531.4	-12574.5	38.49	67.5735
3.00327	1.75502	10530.1	-12573.3	38.49	67.5656
3.10305	1.75535	10532.1	-12575.2	38.49	67.578
3.20283	1.75525	10531.5	-12574.6	38.49	67.5739
3.3026	1.75403	10524.2	-12567.4	38.49	67.5273
3.40238	1.75174	10510.4	-12553.6	38.49	67.4391
3.50216	1.74898	10493.9	-12537.1	38.49	67.333
3.60193	1.74651	10479.1	-12522.2	38.49	67.2379
3.70171	1.74459	10467.6	-12510.7	38.49	67.1641
3.80149	1.74285	10457.1	-12500.3	38.49	67.0971
3.90126	1.7406	10443.6	-12486.8	38.49	67.0107
4.00104	1.73738	10424.3	-12467.4	38.49	66.8868
4.10082	1.73337	10400.2	-12443.4	38.49	66.7324
4.20059	1.72949	10376.9	-12420.1	38.49	66.5832
4.30037	1.72692	10361.5	-12404.7	38.49	66.4842
4.40015	1.72631	10357.9	-12401	38.49	66.4607
4.49992	1.72745	10364.7	-12407.9	38.49	66.5046
4.5997	1.72969	10378.2	-12421.3	38.49	66.5906
4.69947	1.73253	10395.2	-12438.4	38.49	66.6999
4.79925	1.73581	10414.9	-12458	38.49	66.8258
4.89903	1.73939	10436.3	-12479.5	38.49	66.9635
4.9988	1.74275	10456.5	-12499.7	38.49	67.0928
5.09858	1.74513	10470.8	-12513.9	38.49	67.1843
5.19836	1.74607	10476.4	-12519.6	38.49	67.2207
5.29813	1.74578	10474.7	-12517.8	38.49	67.2095
5.39791	1.74487	10469.2	-12512.4	38.49	67.1747
5.49769	1.74381	10462.9	-12506	38.49	67.1339
5.59746	1.74269	10456.2	-12499.3	38.49	67.0912
5.69724	1.74136	10448.2	-12491.3	38.49	67.0398
5.79702	1.73951	10437.1	-12480.2	38.49	66.9688
5.89679	1.73707	10422.4	-12465.6	38.49	66.8748
5.99657	1.73436	10406.1	-12449.3	38.49	66.7706
6.09635	1.73196	10391.8	-12434.9	38.49	66.6786
6.19612	1.73041	10382.5	-12425.6	38.49	66.6188
6.2959	1.72992	10379.5	-12422.7	38.49	66.6002
6.39568	1.73035	10382.1	-12425.3	38.49	66.6168
6.49545	1.73119	10387.2	-12430.3	38.49	66.6492
6.59523	1.7319	10391.4	-12434.5	38.49	66.6762
6.69501	1.73221	10393.3	-12436.4	38.49	66.6882
6.79478	1.73219	10393.2	-12436.3	38.49	66.6879
6.89456	1.73214	10392.8	-12436	38.49	66.6857
6.99434	1.73237	10394.2	-12437.4	38.49	66.6945
7.09411	1.73285	10397.1	-12440.3	38.49	66.7131
7.19389	1.73325	10399.5	-12442.6	38.49	66.7285
7.29366	1.73334	10400	-12443.2	38.49	66.7322
7.39344	1.7333	10399.8	-12443	38.49	66.731
7.49322	1.73327	10399.6	-12442.8	38.49	66.7298
7.59299	1.73305	10398.3	-12441.4	38.49	66.721
7.69277	1.73234	10394.1	-12437.2	38.49	66.6937
7.79255	1.73122	10387.3	-12430.5	38.49	66.6502
7.89232	1.73009	10380.5	-12423.7	38.49	66.6065
7.9921	1.72945	10376.7	-12419.9	38.49	66.582
8.09188	1.72955	10377.3	-12420.5	38.49	66.5857
8.19165	1.73027	10381.6	-12424.7	38.49	66.613
8.29143	1.73134	10388.1	-12431.2	38.49	66.6544
8.39121	1.73258	10395.5	-12438.6	38.49	66.7017
8.49098	1.73387	10403.2	-12446.4	38.49	66.7512
8.59076	1.73512	10410.7	-12453.9	38.49	66.7993
8.69054	1.73617	10417	-12460.2	38.49	66.8396
8.79031	1.73695	10421.7	-12464.8	38.49	66.8698
8.89009	1.73757	10425.4	-12468.6	38.49	66.8938
8.98987	1.7383	10429.8	-12473	38.49	66.922
9.08964	1.73937	10436.2	-12479.3	38.49	66.9629
9.18942	1.74077	10444.6	-12487.8	38.49	67.0169
9.2892	1.74228	10453.7	-12496.8	38.49	67.0749
9.38897	1.74362	10461.7	-12504.9	38.49	67.1264
9.48875	1.74475	10468.5	-12511.6	38.49	67.1698
9.58853	1.74594	10475.7	-12518.8	38.49	67.216
9.6883	1.74768	10486.1	-12529.3	38.49	67.2829
9.78808	1.75028	10501.7	-12544.8	38.49	67.3826
9.88785	1.75368	10522.1	-12565.2	38.49	67.5132
