Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	4.06029	24361.8	2.65017e+07	76.98	1448.1
0.109754	4.37058	26223.5	2.64998e+07	76.98	1470.3
0.209531	4.32275	25936.5	2.65e+07	76.98	1469.71
0.309307	4.1258	24754.8	2.65014e+07	76.98	1458.29
0.409084	4.35162	26109.7	2.64999e+07	76.98	1466.38
0.50886	4.42694	26561.6	2.64995e+07	76.98	1473.67
0.608637	3.95678	23740.7	2.65025e+07	76.98	1442.45
0.708413	3.9506	23703.6	2.65023e+07	76.98	1443.89
0.80819	4.0804	24482.4	2.65016e+07	76.98	1438.11
0.907966	4.0144	24086.4	2.6502e+07	76.98	1448.67
1.00774	3.90619	23437.2	2.65028e+07	76.98	1438.47
1.10752	4.18896	25133.7	2.65009e+07	76.98	1460.95
1.2073	4.33954	26037.2	2.65e+07	76.98	1466.46
1.30707	4.03182	24190.9	2.65019e+07	76.98	1441.94
1.40685	4.15928	24955.7	2.65011e+07	76.98	1459.2
1.50663	4.2856	25713.6	2.65003e+07	76.98	1462.04
1.6064	4.21958	25317.5	2.65007e+07	76.98	1453.73
1.70618	4.32309	25938.6	2.65e+07	76.98	1465.55
1.80596	4.21811	25308.7	2.65007e+07	76.98	1463.68
1.90573	4.07753	24465.2	2.65017e+07	76.98	1442.49
2.00551	4.09544	24572.6	2.65014e+07	76.98	1451.3
2.10528	4.06552	24393.1	2.65018e+07	76.98	1445.1
2.20506	4.2572	25543.2	2.65004e+07	76.98	1458.81
2.30484	3.98182	23890.9	2.65023e+07	76.98	1439.75
2.40461	4.17368	25042.1	2.65009e+07	76.98	1462.64
2.50439	4.3855	26313	2.64997e+07	76.98	1474.41
2.60417	4.40796	26447.8	2.64995e+07	76.98	1468.98
2.70394	3.99771	23986.3	2.65022e+07	76.98	1437.39
2.80372	4.2205	25323	2.65006e+07	76.98	1464.06
2.9035	4.13073	24784.4	2.65013e+07	76.98	1454.12
3.00327	4.27047	25622.8	2.65004e+07	76.98	1458.56
3.10305	4.2462	25477.2	2.65005e+07	76.98	1461.22
3.20283	3.7944	22766.4	2.65036e+07	76.98	1430.99
3.3026	4.36461	26187.7	2.64998e+07	76.98	1473.21
3.40238	4.27827	25669.6	2.65003e+07	76.98	1463.27
3.50216	4.14353	24861.2	2.65012e+07	76.98	1449.35
3.60193	4.43602	26616.1	2.64993e+07	76.98	1474.33
