Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	1.67306	10038.4	-804.603	25.66	42.9307
0.109754	1.67632	10057.9	-824.124	25.66	43.0142
0.209531	1.67996	10079.8	-845.997	25.66	43.1078
0.309307	1.68398	10103.9	-870.078	25.66	43.2107
0.409084	1.68836	10130.2	-896.368	25.66	43.3232
0.50886	1.69311	10158.7	-924.867	25.66	43.4451
0.608637	1.69822	10189.3	-955.547	25.66	43.5763
0.708413	1.70369	10222.1	-988.353	25.66	43.7166
0.80819	1.70952	10257.1	-1023.31	25.66	43.8661
0.907966	1.71569	10294.1	-1060.36	25.66	44.0245
1.00774	1.72221	10333.3	-1099.48	25.66	44.1918
1.10752	1.72908	10374.5	-1140.67	25.66	44.368
1.2073	1.73628	10417.7	-1183.87	25.66	44.5527
1.30707	1.7438	10462.8	-1229.02	25.66	44.7458
1.40685	1.75161	10509.7	-1275.87	25.66	44.9462
1.50663	1.75965	10557.9	-1324.12	25.66	45.1525
1.6064	1.76783	10607	-1373.21	25.66	45.3624
1.70618	1.77603	10656.2	-1422.42	25.66	45.5729
1.80596	1.78409	10704.6	-1470.78	25.66	45.7797
1.90573	1.79182	10750.9	-1517.15	25.66	45.978
2.00551	1.79906	10794.3	-1560.56	25.66	46.1637
2.10528	1.80569	10834.2	-1600.38	25.66	46.3339
2.20506	1.81169	10870.1	-1636.36	25.66	46.4878
2.30484	1.81703	10902.2	-1668.42	25.66	46.625
2.40461	1.82174	10930.4	-1696.64	25.66	46.7457
2.50439	1.82587	10955.2	-1721.45	25.66	46.8518
2.60417	1.82952	10977.1	-1743.32	25.66	46.9455
2.70394	1.83271	10996.2	-1762.45	25.66	47.0273
2.80372	1.83547	11012.8	-1779.06	25.66	47.0984
2.9035	1.83798	11027.9	-1794.09	25.66	47.1627
3.00327	1.84048	11042.9	-1809.11	25.66	47.2271
3.10305	1.84321	11059.3	-1825.5	25.66	47.2972
3.20283	1.84622	11077.3	-1843.54	25.66	47.3744
3.3026	1.84939	11096.3	-1862.55	25.66	47.4557
3.40238	1.8526	11115.6	-1881.8	25.66	47.5381
3.50216	1.85585	11135.1	-1901.33	25.66	47.6217
3.60193	1.85922	11155.3	-1921.54	25.66	47.7081
3.70171	1.8628	11176.8	-1943.04	25.66	47.8001
3.80149	1.86672	11200.3	-1966.53	25.66	47.9006
3.90126	1.87106	11226.4	-1992.6	25.66	48.0121
4.00104	1.87586	11255.2	-2021.41	25.66	48.1353
4.10082	1.88101	11286	-2052.28	25.66	48.2674
4.20059	1.88623	11317.4	-2083.62	25.66	48.4014
4.30037	1.89125	11347.5	-2113.71	25.66	48.5301
4.40015	1.89588	11375.3	-2141.5	25.66	48.649
4.49992	1.90016	11400.9	-2167.17	25.66	48.7588
4.5997	1.90426	11425.5	-2191.78	25.66	48.8641
4.69947	1.90838	11450.3	-2216.5	25.66	48.9698
4.79925	1.91266	11476	-2242.2	25.66	49.0797
4.89903	1.91715	11502.9	-2269.15	25.66	49.195
4.9988	1.9218	11530.8	-2297.03	25.66	49.3142
5.09858	1.92647	11558.8	-2325.05	25.66	49.4341
5.19836	1.93103	11586.2	-2352.4	25.66	49.551
5.29813	1.93545	11612.7	-2378.95	25.66	49.6646
5.39791	1.93997	11639.8	-2406.08	25.66	49.7806
5.49769	1.94502	11670.1	-2436.34	25.66	49.91
5.59746	1.95085	11705.1	-2471.33	25.66	50.0597
5.69724	1.95725	11743.5	-2509.71	25.66	50.2238
5.79702	1.96366	11782	-2548.22	25.66	50.3885
5.89679	1.96965	11817.9	-2584.16	25.66	50.5422
5.99657	1.97504	11850.2	-2616.45	25.66	50.6803
6.09635	1.97988	11879.3	-2645.51	25.66	50.8045
6.19612	1.9844	11906.4	-2672.61	25.66	50.9204
6.2959	1.9888	11932.8	-2699	25.66	51.0333
6.39568	1.99317	11959	-2725.24	25.66	51.1455
6.49545	1.99759	11985.5	-2751.75	25.66	51.2589
6.59523	2.0022	12013.2	-2779.4	25.66	51.3772
6.69501	2.00716	12043	-2809.19	25.66	51.5046
6.79478	2.01251	12075.1	-2841.3	25.66	51.6419
6.89456	2.01808	12108.5	-2874.69	25.66	51.7847
6.99434	2.02364	12141.8	-2908.06	25.66	51.9275
7.09411	2.02912	12174.7	-2940.98	25.66	52.0682
7.19389	2.03451	12207	-2973.27	25.66	52.2063
7.29366	2.03964	12237.8	-3004.06	25.66	52.338
7.39344	2.04429	12265.7	-3031.96	25.66	52.4573
7.49322	2.04827	12289.6	-3055.88	25.66	52.5596
7.59299	2.05154	12309.2	-3075.47	25.66	52.6434
7.69277	2.05419	12325.2	-3091.39	25.66	52.7115
7.79255	2.05645	12338.7	-3104.96	25.66	52.7696
7.89232	2.05853	12351.2	-3117.42	25.66	52.8229
7.9921	2.06064	12363.8	-3130.06	25.66	52.8769
8.09188	2.06307	12378.4	-3144.65	25.66	52.9393
8.19165	2.0661	12396.6	-3162.83	25.66	53.0171
8.29143	2.06971	12418.2	-3184.46	25.66	53.1095
8.39121	2.07351	12441.1	-3207.3	25.66	53.2072
8.49098	2.07705	12462.3	-3228.56	25.66	53.2981
8.59076	2.08005	12480.3	-3246.53	25.66	53.3749
8.69054	2.08249	12494.9	-3261.15	25.66	53.4375
8.79031	2.08449	12507	-3273.19	25.66	53.4889
8.89009	2.08617	12517	-3283.22	25.66	53.5319
8.98987	2.08755	12525.3	-3291.53	25.66	53.5674
9.08964	2.08872	12532.3	-3298.53	25.66	53.5973
9.18942	2.08985	12539.1	-3305.3	25.66	53.6263
9.2892	2.09119	12547.2	-3313.38	25.66	53.6608
9.38897	2.09297	12557.8	-3324.06	25.66	53.7065
9.48875	2.09515	12570.9	-3337.15	25.66	53.7625
9.58853	2.09738	12584.3	-3350.54	25.66	53.8197
9.6883	2.09917	12595	-3361.23	25.66	53.8654
9.78808	2.10011	12600.7	-3366.9	25.66	53.8896
9.88785	2.10008	12600.5	-3366.7	25.66	53.8888
