Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	4.18287	25097.2	-932.85	25.66	107.332
0.109754	4.19118	25147.1	-982.696	25.66	107.546
0.209531	4.20034	25202	-1037.64	25.66	107.781
0.309307	4.21032	25261.9	-1097.5	25.66	108.037
0.409084	4.2211	25326.6	-1162.18	25.66	108.313
0.50886	4.23263	25395.8	-1231.4	25.66	108.609
0.608637	4.2448	25468.8	-1304.42	25.66	108.922
0.708413	4.25735	25544.1	-1379.69	25.66	109.243
0.80819	4.26979	25618.7	-1454.32	25.66	109.563
0.907966	4.28128	25687.7	-1523.31	25.66	109.858
1.00774	4.2907	25744.2	-1579.79	25.66	110.099
1.10752	4.29714	25782.8	-1618.44	25.66	110.264
1.2073	4.30052	25803.1	-1638.76	25.66	110.351
1.30707	4.30087	25805.2	-1640.87	25.66	110.361
1.40685	4.29828	25789.7	-1625.3	25.66	110.294
1.50663	4.29323	25759.4	-1594.99	25.66	110.165
1.6064	4.28609	25716.5	-1552.15	25.66	109.982
1.70618	4.27773	25666.4	-1502.01	25.66	109.767
1.80596	4.26996	25619.8	-1455.39	25.66	109.568
1.90573	4.26372	25582.3	-1417.97	25.66	109.408
2.00551	4.2584	25550.4	-1386.04	25.66	109.272
2.10528	4.25367	25522	-1357.69	25.66	109.151
2.20506	4.25005	25500.3	-1335.93	25.66	109.058
2.30484	4.24801	25488.1	-1323.73	25.66	109.006
2.40461	4.24805	25488.3	-1323.95	25.66	109.007
2.50439	4.25034	25502.1	-1337.7	25.66	109.065
2.60417	4.25405	25524.3	-1359.92	25.66	109.161
2.70394	4.25764	25545.8	-1381.47	25.66	109.253
2.80372	4.26038	25562.3	-1397.92	25.66	109.323
2.9035	4.2626	25575.6	-1411.22	25.66	109.38
3.00327	4.26467	25588	-1423.64	25.66	109.433
3.10305	4.26661	25599.6	-1435.29	25.66	109.483
3.20283	4.26831	25609.9	-1445.52	25.66	109.527
3.3026	4.27055	25623.3	-1458.92	25.66	109.584
3.40238	4.27618	25657.1	-1492.68	25.66	109.729
3.50216	4.2865	25719	-1554.63	25.66	109.993
3.60193	4.29883	25793	-1628.61	25.66	110.31
3.70171	4.31005	25860.3	-1695.93	25.66	110.598
3.80149	4.31825	25909.5	-1745.14	25.66	110.808
3.90126	4.32323	25939.4	-1775.02	25.66	110.936
4.00104	4.32676	25960.6	-1796.18	25.66	111.026
4.10082	4.33134	25988.1	-1823.68	25.66	111.144
4.20059	4.33787	26027.2	-1862.83	25.66	111.311
4.30037	4.34553	26073.2	-1908.79	25.66	111.508
4.40015	4.3541	26124.6	-1960.21	25.66	111.728
4.49992	4.3645	26187	-2022.63	25.66	111.995
4.5997	4.37646	26258.7	-2094.38	25.66	112.302
4.69947	4.38819	26329.2	-2164.8	25.66	112.603
4.79925	4.39798	26387.9	-2223.52	25.66	112.854
4.89903	4.40486	26429.1	-2264.79	25.66	113.03
4.9988	4.40904	26454.2	-2289.84	25.66	113.138
5.09858	4.41173	26470.4	-2306	25.66	113.207
5.19836	4.41426	26485.5	-2321.16	25.66	113.272
5.29813	4.41754	26505.2	-2340.85	25.66	113.356
5.39791	4.42228	26533.7	-2369.29	25.66	113.478
5.49769	4.42851	26571.1	-2406.71	25.66	113.638
5.59746	4.4349	26609.4	-2445.03	25.66	113.801
5.69724	4.43999	26640	-2475.59	25.66	113.932
5.79702	4.44363	26661.8	-2497.43	25.66	114.025
5.89679	4.44675	26680.5	-2516.12	25.66	114.105
5.99657	4.45041	26702.4	-2538.06	25.66	114.199
6.09635	4.4547	26728.2	-2563.82	25.66	114.309
6.19612	4.45847	26750.8	-2586.48	25.66	114.406
6.2959	4.46084	26765.1	-2600.7	25.66	114.467
6.39568	4.46233	26774	-2609.63	25.66	114.505
6.49545	4.46421	26785.3	-2620.91	25.66	114.553
6.59523	4.46665	26799.9	-2635.55	25.66	114.616
6.69501	4.46808	26808.5	-2644.09	25.66	114.652
6.79478	4.46749	26805	-2640.59	25.66	114.637
6.89456	4.46588	26795.3	-2630.9	25.66	114.596
6.99434	4.46457	26787.4	-2623.07	25.66	114.563
7.09411	4.46464	26787.8	-2623.46	25.66	114.564
7.19389	4.46652	26799.1	-2634.74	25.66	114.612
7.29366	4.46932	26815.9	-2651.55	25.66	114.684
7.39344	4.47075	26824.5	-2660.13	25.66	114.721
7.49322	4.46868	26812.1	-2647.75	25.66	114.668
7.59299	4.46306	26778.4	-2614	25.66	114.524
7.69277	4.45562	26733.7	-2569.35	25.66	114.333
7.79255	4.44896	26693.8	-2529.39	25.66	114.162
7.89232	4.44589	26675.3	-2510.94	25.66	114.083
7.9921	4.44754	26685.2	-2520.86	25.66	114.126
8.09188	4.45268	26716.1	-2551.71	25.66	114.257
8.19165	4.4598	26758.8	-2594.46	25.66	114.44
8.29143	4.46752	26805.1	-2640.74	25.66	114.638
8.39121	4.47401	26844.1	-2679.72	25.66	114.805
8.49098	4.47875	26872.5	-2708.11	25.66	114.926
8.59076	4.4824	26894.4	-2730.05	25.66	115.02
8.69054	4.48493	26909.6	-2745.2	25.66	115.085
