Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)
14.0785	180.433	1130.2	-20914.8
14.1782	181.315	1135.72	-20906.4
14.278	182.401	1142.53	-20925.5
14.3778	183.231	1147.73	-20927.5
14.4776	183.27	1147.97	-20933.6
14.5774	183.239	1147.78	-20893.6
14.6771	183.533	1149.61	-20928.2
14.7769	185.065	1159.21	-20920.7
14.8767	187.272	1173.04	-20919.1
14.9765	188.814	1182.7	-20925.2
15.0762	189.085	1184.39	-20945.6
15.176	188.166	1178.64	-20952.3
15.2758	185.889	1164.37	-20917.4
15.3756	183.174	1147.36	-20891.2
15.4753	180.959	1133.49	-20840
15.5751	179.208	1122.52	-20827.8
15.6749	178.32	1116.96	-20835.8
15.7747	178.465	1117.87	-20850.4
15.8744	179.509	1124.41	-20845.7
15.9742	182.107	1140.69	-20837.2
16.074	185.624	1162.71	-20891.8
16.1738	188.525	1180.88	-20962.5
16.2736	190.254	1191.71	-20938.7
16.3733	190.699	1194.5	-20967.6
16.4731	190.146	1191.04	-20984.8
16.5729	188.994	1183.83	-20943.2
16.6727	187.604	1175.12	-20972.7
16.7724	186.967	1171.12	-20960
16.8722	188.115	1178.32	-20914
16.972	190.918	1195.87	-20935.3
17.0718	193.456	1211.77	-20958.9
17.1715	194.245	1216.71	-20950
17.2713	192.929	1208.47	-20976.3
17.3711	190.292	1191.96	-20940.3
17.4709	187.566	1174.88	-20882.5
17.5706	185.624	1162.71	-20860.3
17.6704	184.709	1156.98	-20894.1
17.7702	185.154	1159.77	-20927.9
17.87	186.684	1169.35	-20942.8
17.9698	188.827	1182.77	-20935.7
18.0695	190.696	1194.48	-20935.5
18.1693	190.933	1195.97	-20933
18.2691	189.089	1184.41	-20891
18.3689	186.55	1168.51	-20857.7
18.4686	185.285	1160.59	-20847.4
18.5684	185.902	1164.46	-20825.9
18.6682	187.669	1175.52	-20896.8
18.768	188.946	1183.52	-20913.9
18.8677	189.308	1185.79	-20916.4
18.9675	189.652	1187.95	-20928.6
19.0673	190.82	1195.26	-20935.2
19.1671	192.518	1205.9	-20930.7
19.2668	193.598	1212.66	-20921.6
19.3666	193.241	1210.42	-20859.6
19.4664	191.276	1198.12	-20807.6
19.5662	188.459	1180.47	-20798.9
19.666	186.1	1165.69	-20790.7
19.7657	185.09	1159.37	-20794.1
19.8655	186.096	1165.67	-20806.7
19.9653	187.816	1176.44	-20810
20.0651	189.947	1189.79	-20820.6
20.1648	192.166	1203.69	-20851.9
20.2646	193.936	1214.78	-20894.1
