Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	1.63721	9823.27	-17372.4	38.49	63.0114
0.109754	1.59024	9541.43	-17090.6	38.49	61.2046
0.209531	1.53287	9197.21	-16746.4	38.49	58.9979
0.309307	1.46666	8799.96	-16349.1	38.49	56.4511
0.409084	1.39505	8370.3	-15919.4	38.49	53.6967
0.50886	1.32269	7936.12	-15485.3	38.49	50.9133
0.608637	1.25426	7525.59	-15074.7	38.49	48.2814
0.708413	1.19359	7161.55	-14710.7	38.49	45.9477
0.80819	1.14312	6858.69	-14407.8	38.49	44.0061
0.907966	1.1039	6623.38	-14172.5	38.49	42.4975
1.00774	1.07583	6454.95	-14004.1	38.49	41.4177
1.10752	1.05791	6347.44	-13896.6	38.49	40.7286
1.2073	1.04862	6291.72	-13840.8	38.49	40.3714
1.30707	1.04623	6277.35	-13826.5	38.49	40.2793
1.40685	1.04905	6294.27	-13843.4	38.49	40.3878
1.50663	1.05559	6333.51	-13882.6	38.49	40.6395
1.6064	1.06459	6387.54	-13936.7	38.49	40.9859
1.70618	1.07498	6449.9	-13999	38.49	41.3858
1.80596	1.08582	6514.94	-14064.1	38.49	41.8028
1.90573	1.0963	6577.77	-14126.9	38.49	42.2056
2.00551	1.10577	6634.62	-14183.8	38.49	42.57
2.10528	1.11381	6682.88	-14232	38.49	42.8794
2.20506	1.12016	6720.99	-14270.1	38.49	43.1237
2.30484	1.12469	6748.14	-14297.3	38.49	43.2979
2.40461	1.12741	6764.46	-14313.6	38.49	43.4025
2.50439	1.12848	6770.9	-14320	38.49	43.4438
2.60417	1.12823	6769.35	-14318.5	38.49	43.4339
2.70394	1.12708	6762.49	-14311.6	38.49	43.3899
2.80372	1.12553	6753.18	-14302.3	38.49	43.3301
2.9035	1.12395	6743.71	-14292.8	38.49	43.2692
3.00327	1.12251	6735.05	-14284.2	38.49	43.2136
3.10305	1.12116	6726.98	-14276.1	38.49	43.1618
3.20283	1.11981	6718.89	-14268	38.49	43.1099
3.3026	1.1184	6710.39	-14259.5	38.49	43.0554
