Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	2.50968	15058.1	-846.639	25.66	64.3984
0.109754	2.51464	15087.9	-876.408	25.66	64.5257
0.209531	2.52015	15120.9	-909.441	25.66	64.667
0.309307	2.5262	15157.2	-945.716	25.66	64.8221
0.409084	2.53277	15196.6	-985.133	25.66	64.9907
0.50886	2.53986	15239.1	-1027.69	25.66	65.1726
0.608637	2.54746	15284.7	-1073.27	25.66	65.3676
0.708413	2.55556	15333.3	-1121.88	25.66	65.5754
0.80819	2.56414	15384.9	-1173.4	25.66	65.7958
0.907966	2.5732	15439.2	-1227.74	25.66	66.0282
1.00774	2.58266	15496	-1284.52	25.66	66.271
1.10752	2.59243	15554.6	-1343.1	25.66	66.5215
1.2073	2.60231	15613.9	-1402.4	25.66	66.7751
1.30707	2.61205	15672.3	-1460.83	25.66	67.025
1.40685	2.62126	15727.5	-1516.09	25.66	67.2613
1.50663	2.62954	15777.2	-1565.76	25.66	67.4738
1.6064	2.6366	15819.6	-1608.13	25.66	67.655
1.70618	2.64238	15854.3	-1642.8	25.66	67.8033
1.80596	2.64686	15881.2	-1669.7	25.66	67.9184
1.90573	2.65006	15900.4	-1688.93	25.66	68.0007
2.00551	2.65215	15912.9	-1701.44	25.66	68.0542
2.10528	2.65328	15919.7	-1708.22	25.66	68.0833
2.20506	2.65355	15921.3	-1709.84	25.66	68.0903
2.30484	2.65322	15919.3	-1707.88	25.66	68.082
2.40461	2.65287	15917.2	-1705.77	25.66	68.0731
2.50439	2.65302	15918.1	-1706.66	25.66	68.077
2.60417	2.6537	15922.2	-1710.77	25.66	68.0947
2.70394	2.65465	15927.9	-1716.48	25.66	68.1192
2.80372	2.65576	15934.6	-1723.14	25.66	68.1477
2.9035	2.65717	15943	-1731.6	25.66	68.1839
3.00327	2.65909	15954.5	-1743.11	25.66	68.2332
3.10305	2.66172	15970.3	-1758.91	25.66	68.3008
3.20283	2.66525	15991.5	-1780.09	25.66	68.3914
3.3026	2.66968	16018.1	-1806.63	25.66	68.5049
3.40238	2.67464	16047.8	-1836.39	25.66	68.6322
3.50216	2.67953	16077.2	-1865.75	25.66	68.7578
3.60193	2.68393	16103.6	-1892.13	25.66	68.8707
3.70171	2.68781	16126.9	-1915.45	25.66	68.9704
3.80149	2.69148	16148.9	-1937.47	25.66	69.0646
3.90126	2.69524	16171.5	-1960.03	25.66	69.1611
4.00104	2.69921	16195.3	-1983.85	25.66	69.263
4.10082	2.70334	16220.1	-2008.64	25.66	69.369
4.20059	2.70746	16244.7	-2033.31	25.66	69.4745
4.30037	2.71147	16268.8	-2057.42	25.66	69.5776
4.40015	2.7159	16295.4	-2083.97	25.66	69.6912
4.49992	2.72176	16330.5	-2119.1	25.66	69.8414
4.5997	2.72938	16376.3	-2164.83	25.66	70.037
4.69947	2.7378	16426.8	-2215.39	25.66	70.2532
4.79925	2.74582	16474.9	-2263.48	25.66	70.4589
4.89903	2.75267	16516	-2304.6	25.66	70.6346
4.9988	2.75822	16549.3	-2337.9	25.66	70.777
5.09858	2.76293	16577.6	-2366.17	25.66	70.898
5.19836	2.76749	16605	-2393.53	25.66	71.015
5.29813	2.77233	16634	-2422.53	25.66	71.139
5.39791	2.7775	16665	-2453.56	25.66	71.2717
5.49769	2.78298	16697.9	-2486.47	25.66	71.4125
5.59746	2.78883	16733	-2521.53	25.66	71.5625
5.69724	2.79511	16770.7	-2559.25	25.66	71.7238
5.79702	2.80203	16812.2	-2600.78	25.66	71.9014
5.89679	2.80961	16857.6	-2646.21	25.66	72.0957
5.99657	2.81729	16903.8	-2692.33	25.66	72.2929
