Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	2.4413	14647.8	2.64905e+07	76.98	1318.28
0.109754	2.63223	15793.4	2.64894e+07	76.98	1329.68
0.209531	2.59934	15596	2.64895e+07	76.98	1333.7
0.309307	2.4763	14857.8	2.64904e+07	76.98	1321.83
0.409084	2.59785	15587.1	2.64896e+07	76.98	1324.44
0.50886	2.64871	15892.2	2.64893e+07	76.98	1330.32
0.608637	2.37034	14222.1	2.64911e+07	76.98	1313.35
0.708413	2.39632	14377.9	2.64908e+07	76.98	1316.81
0.80819	2.45217	14713	2.64905e+07	76.98	1309.7
0.907966	2.4364	14618.4	2.64906e+07	76.98	1320.82
1.00774	2.3376	14025.6	2.64913e+07	76.98	1311.26
1.10752	2.5105	15063	2.64901e+07	76.98	1324.38
1.2073	2.61974	15718.4	2.64895e+07	76.98	1324.82
1.30707	2.39749	14384.9	2.64909e+07	76.98	1311.14
1.40685	2.487	14922	2.64903e+07	76.98	1325.11
1.50663	2.57818	15469.1	2.64897e+07	76.98	1320.65
1.6064	2.53684	15221	2.649e+07	76.98	1320.86
1.70618	2.59875	15592.5	2.64896e+07	76.98	1329.7
1.80596	2.51743	15104.6	2.64901e+07	76.98	1323.46
1.90573	2.44803	14688.2	2.64906e+07	76.98	1310.21
2.00551	2.47085	14825.1	2.64903e+07	76.98	1320.18
2.10528	2.43608	14616.5	2.64907e+07	76.98	1311.93
2.20506	2.57474	15448.4	2.64897e+07	76.98	1326.67
2.30484	2.37771	14266.3	2.6491e+07	76.98	1312.49
2.40461	2.52636	15158.1	2.649e+07	76.98	1328.34
2.50439	2.64372	15862.3	2.64893e+07	76.98	1331.45
2.60417	2.64326	15859.6	2.64893e+07	76.98	1327.44
2.70394	2.39176	14350.6	2.64909e+07	76.98	1310.64
2.80372	2.52172	15130.3	2.649e+07	76.98	1325.87
2.9035	2.49157	14949.4	2.64903e+07	76.98	1320.45
3.00327	2.57968	15478.1	2.64897e+07	76.98	1323.66
3.10305	2.55845	15350.7	2.64898e+07	76.98	1327.51
3.20283	2.28486	13709.1	2.64917e+07	76.98	1308.28
3.3026	2.6414	15848.4	2.64893e+07	76.98	1333.13
3.40238	2.562	15372	2.64898e+07	76.98	1324.92
3.50216	2.46831	14809.8	2.64904e+07	76.98	1315.17
3.60193	2.67745	16064.7	2.6489e+07	76.98	1333.37
3.70171	2.44185	14651.1	2.64906e+07	76.98	1311.59
3.80149	2.35368	14122.1	2.64911e+07	76.98	1316.64
3.90126	2.388	14328	2.6491e+07	76.98	1310.71
4.00104	2.60028	15601.7	2.64895e+07	76.98	1324.38
4.10082	2.60614	15636.8	2.64895e+07	76.98	1329.24
4.20059	2.41961	14517.7	2.64907e+07	76.98	1318.7
4.30037	2.38143	14288.6	2.6491e+07	76.98	1309.51
4.40015	2.45047	14702.8	2.64905e+07	76.98	1309.62
4.49992	2.48555	14913.3	2.64903e+07	76.98	1319.37
4.5997	2.6658	15994.8	2.64891e+07	76.98	1338.79
4.69947	2.51788	15107.3	2.64901e+07	76.98	1323.92
4.79925	2.53471	15208.3	2.649e+07	76.98	1314.59
4.89903	2.6354	15812.4	2.64893e+07	76.98	1336.03
4.9988	2.52023	15121.4	2.64902e+07	76.98	1324.04
5.09858	2.5674	15404.4	2.64897e+07	76.98	1327.94
5.19836	2.50726	15043.6	2.64901e+07	76.98	1318.74
5.29813	2.45386	14723.2	2.64905e+07	76.98	1319.91
5.39791	2.53648	15218.9	2.649e+07	76.98	1322.08
5.49769	2.61858	15711.5	2.64894e+07	76.98	1323.85
5.59746	2.53693	15221.6	2.649e+07	76.98	1319.72
5.69724	2.57961	15477.6	2.64897e+07	76.98	1328.07
5.79702	2.58149	15488.9	2.64897e+07	76.98	1321.97
5.89679	2.41163	14469.8	2.64908e+07	76.98	1309.72
5.99657	2.52437	15146.2	2.64901e+07	76.98	1334.36
6.09635	2.66289	15977.4	2.64891e+07	76.98	1330.47
6.19612	2.4545	14727	2.64905e+07	76.98	1309.67
6.2959	2.34424	14065.5	2.64912e+07	76.98	1311
6.39568	2.4897	14938.2	2.64903e+07	76.98	1320.44
6.49545	2.60493	15629.6	2.64895e+07	76.98	1334.96
6.59523	2.39106	14346.4	2.64909e+07	76.98	1301.75
6.69501	2.58121	15487.2	2.64897e+07	76.98	1330.99
6.79478	2.4945	14967	2.64903e+07	76.98	1323.64
6.89456	2.5324	15194.4	2.649e+07	76.98	1327.83
6.99434	2.56983	15419	2.64898e+07	76.98	1320.57
7.09411	2.52004	15120.2	2.64901e+07	76.98	1320.27
7.19389	2.46011	14760.7	2.64905e+07	76.98	1318.18
7.29366	2.55234	15314.1	2.64898e+07	76.98	1327.65
7.39344	2.46988	14819.3	2.64904e+07	76.98	1319.05
7.49322	2.51474	15088.4	2.64901e+07	76.98	1326.51
7.59299	2.50868	15052.1	2.64901e+07	76.98	1317.96
7.69277	2.57095	15425.7	2.64897e+07	76.98	1324.06
7.79255	2.46917	14815	2.64904e+07	76.98	1320.9
7.89232	2.4573	14743.8	2.64905e+07	76.98	1317.16
7.9921	2.5949	15569.4	2.64896e+07	76.98	1324.75
8.09188	2.55648	15338.9	2.64899e+07	76.98	1321.34
8.19165	2.54192	15251.5	2.64899e+07	76.98	1325.26
8.29143	2.57076	15424.6	2.64897e+07	76.98	1326.03
8.39121	2.49624	14977.4	2.64902e+07	76.98	1315.88
8.49098	2.51467	15088	2.64901e+07	76.98	1316.97
8.59076	2.45721	14743.3	2.64905e+07	76.98	1324.11
8.69054	2.5003	15001.8	2.64902e+07	76.98	1314.23
8.79031	2.50895	15053.7	2.64901e+07	76.98	1315.91
8.89009	2.5807	15484.2	2.64897e+07	76.98	1321.81
8.98987	2.54056	15243.3	2.649e+07	76.98	1327.56
9.08964	2.52887	15173.2	2.649e+07	76.98	1324.21
9.18942	2.51265	15075.9	2.64901e+07	76.98	1320.91
9.2892	2.51847	15110.8	2.64901e+07	76.98	1321.28
9.38897	2.55547	15332.8	2.64899e+07	76.98	1324.06
