Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	3.34964	20097.8	-3166.47	28.8675	96.6951
0.109754	3.3601	20160.6	-3229.23	28.8675	96.9971
0.209531	3.37159	20229.5	-3298.16	28.8675	97.3286
0.309307	3.38393	20303.6	-3372.23	28.8675	97.685
0.409084	3.39687	20381.2	-3449.84	28.8675	98.0584
0.50886	3.40984	20459	-3527.69	28.8675	98.4329
0.608637	3.42198	20531.9	-3600.51	28.8675	98.7832
0.708413	3.43195	20591.7	-3660.38	28.8675	99.0713
0.80819	3.43826	20629.5	-3698.21	28.8675	99.2534
0.907966	3.43977	20638.6	-3707.31	28.8675	99.2972
1.00774	3.43626	20617.6	-3686.25	28.8675	99.196
1.10752	3.42821	20569.3	-3637.97	28.8675	98.9639
1.2073	3.41658	20499.5	-3568.19	28.8675	98.6284
1.30707	3.40245	20414.7	-3483.4	28.8675	98.2207
1.40685	3.38701	20322.1	-3390.75	28.8675	97.7752
1.50663	3.37175	20230.5	-3299.18	28.8675	97.3349
1.6064	3.35763	20145.8	-3214.44	28.8675	96.9274
1.70618	3.34484	20069	-3137.73	28.8675	96.5585
1.80596	3.33361	20001.7	-3070.35	28.8675	96.2346
1.90573	3.32442	19946.5	-3015.24	28.8675	95.9697
2.00551	3.31775	19906.5	-2975.2	28.8675	95.7773
2.10528	3.31365	19881.9	-2950.61	28.8675	95.6592
2.20506	3.31153	19869.2	-2937.89	28.8675	95.5981
2.30484	3.31046	19862.7	-2931.43	28.8675	95.5672
2.40461	3.30984	19859	-2927.73	28.8675	95.5496
2.50439	3.30979	19858.7	-2927.44	28.8675	95.5483
2.60417	3.31098	19865.9	-2934.58	28.8675	95.5828
2.70394	3.31407	19884.4	-2953.12	28.8675	95.6721
2.80372	3.319	19914	-2982.71	28.8675	95.8145
2.9035	3.325	19950	-3018.67	28.8675	95.9876
3.00327	3.33138	19988.3	-3056.96	28.8675	96.1719
3.10305	3.3384	20030.4	-3099.1	28.8675	96.3747
3.20283	3.34721	20083.3	-3151.97	28.8675	96.6292
3.3026	3.35835	20150.1	-3218.79	28.8675	96.9506
3.40238	3.37112	20226.7	-3295.44	28.8675	97.3194
3.50216	3.38453	20307.2	-3375.88	28.8675	97.7064
3.60193	3.39766	20386	-3454.67	28.8675	98.0853
3.70171	3.41002	20460.1	-3528.81	28.8675	98.442
3.80149	3.4215	20529	-3597.7	28.8675	98.7734
3.90126	3.43183	20591	-3659.71	28.8675	99.0716
4.00104	3.44059	20643.6	-3712.26	28.8675	99.3244
4.10082	3.44772	20686.3	-3755.02	28.8675	99.5301
4.20059	3.45399	20723.9	-3792.63	28.8675	99.7112
4.30037	3.46071	20764.3	-3832.95	28.8675	99.9051
4.40015	3.46828	20809.7	-3878.36	28.8675	100.124
4.49992	3.47554	20853.2	-3921.91	28.8675	100.333
4.5997	3.48133	20888	-3956.7	28.8675	100.5
4.69947	3.48588	20915.3	-3983.95	28.8675	100.632
4.79925	3.49006	20940.3	-4009.04	28.8675	100.752
4.89903	3.49429	20965.7	-4034.43	28.8675	100.875
4.9988	3.49858	20991.5	-4060.15	28.8675	100.998
5.09858	3.50307	21018.4	-4087.11	28.8675	101.128
5.19836	3.50807	21048.4	-4117.14	28.8675	101.272
5.29813	3.51347	21080.8	-4149.51	28.8675	101.428
5.39791	3.51851	21111	-4179.74	28.8675	101.573
5.49769	3.52239	21134.4	-4203.06	28.8675	101.685
5.59746	3.525	21150	-4218.72	28.8675	101.761
5.69724	3.52709	21162.6	-4231.27	28.8675	101.821
5.79702	3.52959	21177.6	-4246.27	28.8675	101.893
5.89679	3.53253	21195.2	-4263.91	28.8675	101.978
5.99657	3.53509	21210.6	-4279.26	28.8675	102.052
6.09635	3.53633	21218	-4286.72	28.8675	102.088
6.19612	3.5358	21214.8	-4283.52	28.8675	102.073
6.2959	3.53392	21203.5	-4272.23	28.8675	102.018
6.39568	3.53166	21189.9	-4258.64	28.8675	101.953
6.49545	3.52994	21179.6	-4248.32	28.8675	101.904
6.59523	3.52946	21176.7	-4245.45	28.8675	101.89
6.69501	3.53017	21181	-4249.75	28.8675	101.91
6.79478	3.53088	21185.3	-4253.99	28.8675	101.931
6.89456	3.53057	21183.4	-4252.11	28.8675	101.922
6.99434	3.52962	21177.7	-4246.42	28.8675	101.894
7.09411	3.52949	21177	-4245.66	28.8675	101.891
7.19389	3.53115	21186.9	-4255.62	28.8675	101.939
7.29366	3.53414	21204.8	-4273.54	28.8675	102.025
7.39344	3.53745	21224.7	-4293.37	28.8675	102.12
7.49322	3.54073	21244.4	-4313.1	28.8675	102.215
7.59299	3.54432	21265.9	-4334.6	28.8675	102.318
7.69277	3.54832	21289.9	-4358.65	28.8675	102.434
7.79255	3.55204	21312.2	-4380.95	28.8675	102.541
7.89232	3.55403	21324.2	-4392.91	28.8675	102.599
7.9921	3.55324	21319.4	-4388.16	28.8675	102.576
8.09188	3.55005	21300.3	-4369	28.8675	102.484
8.19165	3.54623	21277.4	-4346.05	28.8675	102.374
8.29143	3.54367	21262	-4330.69	28.8675	102.3
8.39121	3.5429	21257.4	-4326.11	28.8675	102.278
8.49098	3.54292	21257.5	-4326.21	28.8675	102.278
8.59076	3.54242	21254.5	-4323.25	28.8675	102.264
8.69054	3.54089	21245.4	-4314.08	28.8675	102.22
8.79031	3.5384	21230.4	-4299.1	28.8675	102.147
8.89009	3.53518	21211.1	-4279.8	28.8675	102.055
8.98987	3.53154	21189.3	-4257.97	28.8675	101.949
9.08964	3.52788	21167.3	-4235.97	28.8675	101.844
9.18942	3.52425	21145.5	-4214.22	28.8675	101.739
9.2892	3.52069	21124.1	-4192.84	28.8675	101.636
9.38897	3.51788	21107.3	-4175.99	28.8675	101.555
9.48875	3.5168	21100.8	-4169.49	28.8675	101.524
9.58853	3.51791	21107.5	-4176.18	28.8675	101.556
9.6883	3.52099	21125.9	-4194.63	28.8675	101.645
9.78808	3.52498	21149.9	-4218.57	28.8675	101.76
9.88785	3.52878	21172.7	-4241.42	28.8675	101.87
