Time (?)	Temperature	Kinetic energy (?)	Potential Energy (?)	Number Density	Pressure
0.00997765	4.76384	28583	-12982.9	38.49	183.373
0.109754	4.47446	26846.8	-11246.5	38.49	172.242
0.209531	4.2126	25275.6	-9675.22	38.49	162.169
0.309307	4.00549	24032.9	-8432.52	38.49	154.202
0.409084	3.8626	23175.6	-7575.23	38.49	148.706
0.50886	3.77898	22673.9	-7073.53	38.49	145.489
0.608637	3.74194	22451.7	-6851.34	38.49	144.065
0.708413	3.7386	22431.6	-6831.3	38.49	143.936
0.80819	3.75884	22553	-6952.76	38.49	144.715
0.907966	3.79333	22760	-7159.77	38.49	146.042
1.00774	3.83211	22992.6	-7392.44	38.49	147.534
1.10752	3.86712	23202.7	-7602.54	38.49	148.881
1.2073	3.89374	23362.5	-7762.26	38.49	149.904
1.30707	3.90994	23459.7	-7859.44	38.49	150.527
1.40685	3.91653	23499.2	-7898.96	38.49	150.781
1.50663	3.91691	23501.4	-7901.21	38.49	150.795
1.6064	3.91488	23489.3	-7889.05	38.49	150.717
1.70618	3.91236	23474.2	-7873.94	38.49	150.62
1.80596	3.90904	23454.2	-7854	38.49	150.492
1.90573	3.90444	23426.6	-7826.42	38.49	150.315
2.00551	3.9011	23406.6	-7806.33	38.49	150.186
2.10528	3.90326	23419.6	-7819.34	38.49	150.27
2.20506	3.91078	23464.7	-7864.46	38.49	150.559
2.30484	3.91827	23509.6	-7909.4	38.49	150.847
2.40461	3.92096	23525.8	-7925.54	38.49	150.95
2.50439	3.91898	23513.9	-7913.66	38.49	150.874
2.60417	3.91637	23498.2	-7897.97	38.49	150.773
2.70394	3.9136	23481.6	-7881.39	38.49	150.667
2.80372	3.9093	23455.8	-7855.54	38.49	150.501
2.9035	3.90529	23431.7	-7831.46	38.49	150.347
3.00327	3.90475	23428.5	-7828.26	38.49	150.327
3.10305	3.90885	23453.1	-7852.86	38.49	150.484
3.20283	3.91372	23482.3	-7882.1	38.49	150.671
3.3026	3.91368	23482.1	-7881.83	38.49	150.669
3.40238	3.90667	23440	-7839.82	38.49	150.4
3.50216	3.89416	23364.9	-7764.71	38.49	149.918
3.60193	3.87986	23279.2	-7678.91	38.49	149.368
3.70171	3.86706	23202.4	-7602.14	38.49	148.875
3.80149	3.85657	23139.4	-7539.21	38.49	148.472
3.90126	3.84905	23094.3	-7494.04	38.49	148.183
4.00104	3.84535	23072.1	-7471.87	38.49	148.041
4.10082	3.84452	23067.1	-7466.86	38.49	148.01
4.20059	3.84694	23081.7	-7481.42	38.49	148.104
4.30037	3.85597	23135.8	-7535.6	38.49	148.452
4.40015	3.87211	23232.6	-7632.4	38.49	149.073
4.49992	3.89131	23347.9	-7747.65	38.49	149.812
4.5997	3.90756	23445.3	-7845.14	38.49	150.436
4.69947	3.91645	23498.7	-7898.48	38.49	150.778
4.79925	3.9157	23494.2	-7894	38.49	150.748
4.89903	3.90583	23435	-7834.77	38.49	150.369
4.9988	3.89215	23352.9	-7752.68	38.49	149.843
5.09858	3.88193	23291.6	-7691.34	38.49	149.449
5.19836	3.87868	23272.1	-7671.85	38.49	149.325
5.29813	3.88008	23280.5	-7680.27	38.49	149.379
5.39791	3.88133	23288	-7687.75	38.49	149.427
5.49769	3.8797	23278.2	-7677.99	38.49	149.364
5.59746	3.87625	23257.5	-7657.28	38.49	149.232
5.69724	3.87458	23247.5	-7647.22	38.49	149.167
5.79702	3.8777	23266.2	-7665.99	38.49	149.287
5.89679	3.8854	23312.4	-7712.19	38.49	149.583
5.99657	3.89444	23366.6	-7766.43	38.49	149.93
6.09635	3.90175	23410.5	-7810.31	38.49	150.211
6.19612	3.90647	23438.8	-7838.57	38.49	150.392
6.2959	3.9095	23457	-7856.8	38.49	150.508
6.39568	3.91195	23471.7	-7871.5	38.49	150.602
6.49545	3.91425	23485.5	-7885.25	38.49	150.691
6.59523	3.91619	23497.1	-7896.92	38.49	150.765
6.69501	3.91683	23501	-7900.77	38.49	150.79
6.79478	3.91603	23496.2	-7895.95	38.49	150.76
6.89456	3.91592	23495.5	-7895.3	38.49	150.756
6.99434	3.91871	23512.3	-7912.05	38.49	150.863
7.09411	3.92391	23543.5	-7943.24	38.49	151.064
7.19389	3.92899	23574	-7973.74	38.49	151.259
7.29366	3.93218	23593.1	-7992.88	38.49	151.382
7.39344	3.93173	23590.4	-7990.18	38.49	151.364
7.49322	3.92619	23557.2	-7956.95	38.49	151.151
7.59299	3.91885	23513.1	-7912.84	38.49	150.868
7.69277	3.91673	23500.4	-7900.11	38.49	150.786
7.79255	3.92079	23524.7	-7924.5	38.49	150.943
7.89232	3.92451	23547.1	-7946.89	38.49	151.086
7.9921	3.92215	23532.9	-7932.69	38.49	150.995
8.09188	3.91343	23480.6	-7880.38	38.49	150.66
8.19165	3.90283	23417	-7816.74	38.49	150.252
8.29143	3.89562	23373.7	-7773.5	38.49	149.975
8.39121	3.89405	23364.3	-7764.09	38.49	149.915
8.49098	3.8965	23379	-7778.81	38.49	150.009
8.59076	3.90026	23401.6	-7801.35	38.49	150.154
8.69054	3.90424	23425.5	-7825.26	38.49	150.307
8.79031	3.9082	23449.2	-7848.97	38.49	150.459
8.89009	3.91153	23469.2	-7868.99	38.49	150.587
8.98987	3.91269	23476.2	-7875.98	38.49	150.632
9.08964	3.90969	23458.2	-7857.97	38.49	150.517
9.18942	3.90379	23422.8	-7822.55	38.49	150.291
9.2892	3.89868	23392.1	-7791.89	38.49	150.095
9.38897	3.89578	23374.7	-7774.47	38.49	149.983
9.48875	3.89414	23364.8	-7764.61	38.49	149.92
9.58853	3.89377	23362.6	-7762.41	38.49	149.906
9.6883	3.89588	23375.3	-7775.09	38.49	149.987
9.78808	3.89953	23397.2	-7797.01	38.49	150.127
9.88785	3.9023	23413.8	-7813.6	38.49	150.234
